Infinitive,замерза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замерза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,замерза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замерза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,замерза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,замерза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,замерза́ю
2nd Sing,замерза́ешь
3rd Sing,замерза́ет
1st Pl,замерза́ем
2nd Pl,замерза́ете
3rd Pl,замерза́ют
Past M,замерза́л
Past F,замерза́ла
Past N,замерза́ло
Past PL,замерза́ли
Imp S,замерза́й
Imp PL,замерза́йте
