Infinitive,закры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закро́ю
2nd Sing,закро́ешь
3rd Sing,закро́ет
1st Pl,закро́ем
2nd Pl,закро́ете
3rd Pl,закро́ют
Past M,закры́л
Past F,закры́ла
Past N,закры́ло
Past PL,закры́ли
Imp S,закро́й
Imp PL,закро́йте
