Infinitive,затя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,затя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,затя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затя́гиваюсь
2nd Sing,затя́гиваешься
3rd Sing,затя́гивается
1st Pl,затя́гиваемся
2nd Pl,затя́гиваетесь
3rd Pl,затя́гиваются
Past M,затя́гивался
Past F,затя́гивалась
Past N,затя́гивалось
Past PL,затя́гивались
Imp S,затя́гивайся
Imp PL,затя́гивайтесь
