Infinitive,заброни́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заброни́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заброни́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заброни́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заброни́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заброни́рую
2nd Sing,заброни́руешь
3rd Sing,заброни́рует
1st Pl,заброни́руем
2nd Pl,заброни́руете
3rd Pl,заброни́руют
Past M,заброни́ровал
Past F,заброни́ровала
Past N,заброни́ровало
Past PL,заброни́ровали
Imp S,заброни́руй
Imp PL,заброни́руйте
