Infinitive,замести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заметённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заметя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замету́
2nd Sing,заметёшь
3rd Sing,заметёт
1st Pl,заметём
2nd Pl,заметёте
3rd Pl,замету́т
Past M,замёл
Past F,замела́
Past N,замело́
Past PL,замели́
Imp S,замети́
Imp PL,замети́те
