Infinitive,запреща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запреща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запреща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запреща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запреща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запреща́юсь
2nd Sing,запреща́ешься
3rd Sing,запреща́ется
1st Pl,запреща́емся
2nd Pl,запреща́етесь
3rd Pl,запреща́ются
Past M,запреща́лся
Past F,запреща́лась
Past N,запреща́лось
Past PL,запреща́лись
Imp S,запреща́йся
Imp PL,запреща́йтесь
