Infinitive,замкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́мкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замкну́
2nd Sing,замкнёшь
3rd Sing,замкнёт
1st Pl,замкнём
2nd Pl,замкнёте
3rd Pl,замкну́т
Past M,замкну́л
Past F,замкну́ла
Past N,замкну́ло
Past PL,замкну́ли
Imp S,замкни́
Imp PL,замкни́те
