Infinitive,закипа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,закипа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закипа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закипа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закипа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,закипа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,закипа́ю
2nd Sing,закипа́ешь
3rd Sing,закипа́ет
1st Pl,закипа́ем
2nd Pl,закипа́ете
3rd Pl,закипа́ют
Past M,закипа́л
Past F,закипа́ла
Past N,закипа́ло
Past PL,закипа́ли
Imp S,закипа́й
Imp PL,закипа́йте
