Infinitive,засмея́ться
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,засмея́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засмея́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,засмею́сь
2nd Sing,засмеёшься
3rd Sing,засмеётся
1st Pl,засмеёмся
2nd Pl,засмеётесь
3rd Pl,засмею́тся
Past M,засмея́лся
Past F,засмея́лась
Past N,засмея́лось
Past PL,засмея́лись
Imp S,засме́йся
Imp PL,засме́йтесь
