Infinitive,заворо́чаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заворо́чавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заворо́чавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заворо́чаюсь
2nd Sing,заворо́чаешься
3rd Sing,заворо́чается
1st Pl,заворо́чаемся
2nd Pl,заворо́чаетесь
3rd Pl,заворо́чаются
Past M,заворо́чался
Past F,заворо́чалась
Past N,заворо́чалось
Past PL,заворо́чались
Imp S,заворо́чайся
Imp PL,заворо́чайтесь
