Infinitive,зашифрова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зашифрова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашифро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зашифрова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зашифрова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашифру́ю
2nd Sing,зашифру́ешь
3rd Sing,зашифру́ет
1st Pl,зашифру́ем
2nd Pl,зашифру́ете
3rd Pl,зашифру́ют
Past M,зашифрова́л
Past F,зашифрова́ла
Past N,зашифрова́ло
Past PL,зашифрова́ли
Imp S,зашифру́й
Imp PL,зашифру́йте
