Infinitive,запну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запну́сь
2nd Sing,запнёшься
3rd Sing,запнётся
1st Pl,запнёмся
2nd Pl,запнётесь
3rd Pl,запну́тся
Past M,запну́лся
Past F,запну́лась
Past N,запну́лось
Past PL,запну́лись
Imp S,запни́сь
Imp PL,запни́тесь
