Infinitive,зала́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зала́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зала́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зала́мываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зала́мывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зала́мывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зала́мывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зала́мываю
2nd Sing,зала́мываешь
3rd Sing,зала́мывает
1st Pl,зала́мываем
2nd Pl,зала́мываете
3rd Pl,зала́мывают
Past M,зала́мывал
Past F,зала́мывала
Past N,зала́мывало
Past PL,зала́мывали
Imp S,зала́мывай
Imp PL,зала́мывайте
