Infinitive,зарыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зарыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зарыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зарыва́юсь
2nd Sing,зарыва́ешься
3rd Sing,зарыва́ется
1st Pl,зарыва́емся
2nd Pl,зарыва́етесь
3rd Pl,зарыва́ются
Past M,зарыва́лся
Past F,зарыва́лась
Past N,зарыва́лось
Past PL,зарыва́лись
Imp S,зарыва́йся
Imp PL,зарыва́йтесь
