Infinitive,заверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заверну́
2nd Sing,завернёшь
3rd Sing,завернёт
1st Pl,завернём
2nd Pl,завернёте
3rd Pl,заверну́т
Past M,заверну́л
Past F,заверну́ла
Past N,заверну́ло
Past PL,заверну́ли
Imp S,заверни́
Imp PL,заверни́те
