Infinitive,заинтересова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заинтересова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заинтересо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заинтересова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заинтересова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заинтересу́ю
2nd Sing,заинтересу́ешь
3rd Sing,заинтересу́ет
1st Pl,заинтересу́ем
2nd Pl,заинтересу́ете
3rd Pl,заинтересу́ют
Past M,заинтересова́л
Past F,заинтересова́ла
Past N,заинтересова́ло
Past PL,заинтересова́ли
Imp S,заинтересу́й
Imp PL,заинтересу́йте
