Infinitive,заплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заплыву́
2nd Sing,заплывёшь
3rd Sing,заплывёт
1st Pl,заплывём
2nd Pl,заплывёте
3rd Pl,заплыву́т
Past M,заплы́л
Past F,заплыла́
Past N,заплы́ло
Past PL,заплы́ли
Imp S,заплыви́
Imp PL,заплыви́те
