Infinitive,замути́ть
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замутнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замучу́
2nd Sing,замути́шь
3rd Sing,замути́т
1st Pl,замути́м
2nd Pl,замути́те
3rd Pl,замутя́т
Past M,замути́л
Past F,замути́ла
Past N,замути́ло
Past PL,замути́ли
Imp S,замути́
Imp PL,замути́те
