Infinitive,заказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закажу́
2nd Sing,зака́жешь
3rd Sing,зака́жет
1st Pl,зака́жем
2nd Pl,зака́жете
3rd Pl,зака́жут
Past M,заказа́л
Past F,заказа́ла
Past N,заказа́ло
Past PL,заказа́ли
Imp S,закажи́
Imp PL,закажи́те
