Infinitive,захвора́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захвора́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захвора́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захвора́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захвора́ю
2nd Sing,захвора́ешь
3rd Sing,захвора́ет
1st Pl,захвора́ем
2nd Pl,захвора́ете
3rd Pl,захвора́ют
Past M,захвора́л
Past F,захвора́ла
Past N,захвора́ло
Past PL,захвора́ли
Imp S,захвора́й
Imp PL,захвора́йте
