Infinitive,закупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заку́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закуплю́
2nd Sing,заку́пишь
3rd Sing,заку́пит
1st Pl,заку́пим
2nd Pl,заку́пите
3rd Pl,заку́пят
Past M,закупи́л
Past F,закупи́ла
Past N,закупи́ло
Past PL,закупи́ли
Imp S,закупи́
Imp PL,закупи́те
