Infinitive,записа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,записа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,записа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,записа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запишу́
2nd Sing,запи́шешь
3rd Sing,запи́шет
1st Pl,запи́шем
2nd Pl,запи́шете
3rd Pl,запи́шут
Past M,записа́л
Past F,записа́ла
Past N,записа́ло
Past PL,записа́ли
Imp S,запиши́
Imp PL,запиши́те
