Infinitive,заплани́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заплани́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заплани́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заплани́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заплани́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заплани́рую
2nd Sing,заплани́руешь
3rd Sing,заплани́рует
1st Pl,заплани́руем
2nd Pl,заплани́руете
3rd Pl,заплани́руют
Past M,заплани́ровал
Past F,заплани́ровала
Past N,заплани́ровало
Past PL,заплани́ровали
Imp S,заплани́руй
Imp PL,заплани́руйте
