Infinitive,застыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,застыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,застыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,застыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,застыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,застыва́ю
2nd Sing,застыва́ешь
3rd Sing,застыва́ет
1st Pl,застыва́ем
2nd Pl,застыва́ете
3rd Pl,застыва́ют
Past M,застыва́л
Past F,застыва́ла
Past N,застыва́ло
Past PL,застыва́ли
Imp S,застыва́й
Imp PL,застыва́йте
