Infinitive,закла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закла́дываюсь
2nd Sing,закла́дываешься
3rd Sing,закла́дывается
1st Pl,закла́дываемся
2nd Pl,закла́дываетесь
3rd Pl,закла́дываются
Past M,закла́дывался
Past F,закла́дывалась
Past N,закла́дывалось
Past PL,закла́дывались
Imp S,закла́дывайся
Imp PL,закла́дывайтесь
