Infinitive,заскуча́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заскуча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заскуча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заскуча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заскуча́ю
2nd Sing,заскуча́ешь
3rd Sing,заскуча́ет
1st Pl,заскуча́ем
2nd Pl,заскуча́ете
3rd Pl,заскуча́ют
Past M,заскуча́л
Past F,заскуча́ла
Past N,заскуча́ло
Past PL,заскуча́ли
Imp S,заскуча́й
Imp PL,заскуча́йте
