Infinitive,заде́рживаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заде́рживающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заде́рживавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заде́рживаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заде́рживавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заде́рживаюсь
2nd Sing,заде́рживаешься
3rd Sing,заде́рживается
1st Pl,заде́рживаемся
2nd Pl,заде́рживаетесь
3rd Pl,заде́рживаются
Past M,заде́рживался
Past F,заде́рживалась
Past N,заде́рживалось
Past PL,заде́рживались
Imp S,заде́рживайся
Imp PL,заде́рживайтесь
