Infinitive,зарекомендова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зарекомендова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарекомендо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарекомендова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зарекомендова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зарекоменду́ю
2nd Sing,зарекоменду́ешь
3rd Sing,зарекоменду́ет
1st Pl,зарекоменду́ем
2nd Pl,зарекоменду́ете
3rd Pl,зарекоменду́ют
Past M,зарекомендова́л
Past F,зарекомендова́ла
Past N,зарекомендова́ло
Past PL,зарекомендова́ли
Imp S,зарекоменду́й
Imp PL,зарекоменду́йте
