Infinitive,застуча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,застуча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застуча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,застуча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,застучу́
2nd Sing,застучи́шь
3rd Sing,застучи́т
1st Pl,застучи́м
2nd Pl,застучи́те
3rd Pl,застуча́т
Past M,застуча́л
Past F,застуча́ла
Past N,застуча́ло
Past PL,застуча́ли
Imp S,застучи́
Imp PL,застучи́те
