Infinitive,затащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зата́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затащу́
2nd Sing,зата́щишь
3rd Sing,зата́щит
1st Pl,зата́щим
2nd Pl,зата́щите
3rd Pl,зата́щат
Past M,затащи́л
Past F,затащи́ла
Past N,затащи́ло
Past PL,затащи́ли
Imp S,затащи́
Imp PL,затащи́те
