Infinitive,заступа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заступа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заступа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заступа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заступа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заступа́юсь
2nd Sing,заступа́ешься
3rd Sing,заступа́ется
1st Pl,заступа́емся
2nd Pl,заступа́етесь
3rd Pl,заступа́ются
Past M,заступа́лся
Past F,заступа́лась
Past N,заступа́лось
Past PL,заступа́лись
Imp S,заступа́йся
Imp PL,заступа́йтесь
