Infinitive,зароди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зароди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зароди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зарожу́сь
2nd Sing,зароди́шься
3rd Sing,зароди́тся
1st Pl,зароди́мся
2nd Pl,зароди́тесь
3rd Pl,зародя́тся
Past M,зароди́лся
Past F,зароди́лась
Past N,зароди́лось
Past PL,зароди́лись
Imp S,зароди́сь
Imp PL,зароди́тесь
