Infinitive,загрохота́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загрохота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загрохота́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загрохота́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загрохочу́
2nd Sing,загрохо́чешь
3rd Sing,загрохо́чет
1st Pl,загрохо́чем
2nd Pl,загрохо́чете
3rd Pl,загрохо́чут
Past M,загрохота́л
Past F,загрохота́ла
Past N,загрохота́ло
Past PL,загрохота́ли
Imp S,загрохочи́
Imp PL,загрохочи́те
