Infinitive,зака́нчиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зака́нчивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́нчивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зака́нчиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зака́нчивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зака́нчиваюсь
2nd Sing,зака́нчиваешься
3rd Sing,зака́нчивается
1st Pl,зака́нчиваемся
2nd Pl,зака́нчиваетесь
3rd Pl,зака́нчиваются
Past M,зака́нчивался
Past F,зака́нчивалась
Past N,зака́нчивалось
Past PL,зака́нчивались
Imp S,зака́нчивайся
Imp PL,зака́нчивайтесь
