Infinitive,зале́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,залёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,залёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заля́гу
2nd Sing,заля́жешь
3rd Sing,заля́жет
1st Pl,заля́жем
2nd Pl,заля́жете
3rd Pl,заля́гут
Past M,залёг
Past F,залегла́
Past N,залегло́
Past PL,залегли́
Imp S,заля́г
Imp PL,заля́гте
