Infinitive,занаве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,занаве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,занаве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,занаве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,занаве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,занаве́шу
2nd Sing,занаве́сишь
3rd Sing,занаве́сит
1st Pl,занаве́сим
2nd Pl,занаве́сите
3rd Pl,занаве́сят
Past M,занаве́сил
Past F,занаве́сила
Past N,занаве́сило
Past PL,занаве́сили
Imp S,занаве́сь
Imp PL,занаве́сьте
