Infinitive,задви́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задви́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задви́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задви́гав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задви́гавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задви́гаю
2nd Sing,задви́гаешь
3rd Sing,задви́гает
1st Pl,задви́гаем
2nd Pl,задви́гаете
3rd Pl,задви́гают
Past M,задви́гал
Past F,задви́гала
Past N,задви́гало
Past PL,задви́гали
Imp S,задви́гай
Imp PL,задви́гайте
