Infinitive,захоте́ть
Zaliznyak Class,5c'
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,захоте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захоте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захоте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захочу́
2nd Sing,захо́чешь
3rd Sing,захо́чет
1st Pl,захоти́м
2nd Pl,захоти́те
3rd Pl,захотя́т
Past M,захоте́л
Past F,захоте́ла
Past N,захоте́ло
Past PL,захоте́ли
Imp S,захоти́
Imp PL,захоти́те
