Infinitive,загляну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загляну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загляну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загляну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загляну́
2nd Sing,загля́нешь
3rd Sing,загля́нет
1st Pl,загля́нем
2nd Pl,загля́нете
3rd Pl,загля́нут
Past M,загляну́л
Past F,загляну́ла
Past N,загляну́ло
Past PL,загляну́ли
Imp S,загляни́
Imp PL,загляни́те
