Infinitive,захохота́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захохота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захохота́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захохота́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захохочу́
2nd Sing,захохо́чешь
3rd Sing,захохо́чет
1st Pl,захохо́чем
2nd Pl,захохо́чете
3rd Pl,захохо́чут
Past M,захохота́л
Past F,захохота́ла
Past N,захохота́ло
Past PL,захохота́ли
Imp S,захохочи́
Imp PL,захохочи́те
