Infinitive,запря́тать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запря́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запря́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запря́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запря́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запря́чу
2nd Sing,запря́чешь
3rd Sing,запря́чет
1st Pl,запря́чем
2nd Pl,запря́чете
3rd Pl,запря́чут
Past M,запря́тал
Past F,запря́тала
Past N,запря́тало
Past PL,запря́тали
Imp S,запря́чь
Imp PL,запря́чьте
