Infinitive,зака́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зака́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зака́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зака́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зака́тываюсь
2nd Sing,зака́тываешься
3rd Sing,зака́тывается
1st Pl,зака́тываемся
2nd Pl,зака́тываетесь
3rd Pl,зака́тываются
Past M,зака́тывался
Past F,зака́тывалась
Past N,зака́тывалось
Past PL,зака́тывались
Imp S,зака́тывайся
Imp PL,зака́тывайтесь
