Infinitive,заде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заде́лаю
2nd Sing,заде́лаешь
3rd Sing,заде́лает
1st Pl,заде́лаем
2nd Pl,заде́лаете
3rd Pl,заде́лают
Past M,заде́лал
Past F,заде́лала
Past N,заде́лало
Past PL,заде́лали
Imp S,заде́лай
Imp PL,заде́лайте
