Infinitive,заголоси́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заголоси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заголоси́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заголоси́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заголошу́
2nd Sing,заголоси́шь
3rd Sing,заголоси́т
1st Pl,заголоси́м
2nd Pl,заголоси́те
3rd Pl,заголося́т
Past M,заголоси́л
Past F,заголоси́ла
Past N,заголоси́ло
Past PL,заголоси́ли
Imp S,заголоси́
Imp PL,заголоси́те
