Infinitive,закива́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,закива́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закива́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,закива́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,закива́ю
2nd Sing,закива́ешь
3rd Sing,закива́ет
1st Pl,закива́ем
2nd Pl,закива́ете
3rd Pl,закива́ют
Past M,закива́л
Past F,закива́ла
Past N,закива́ло
Past PL,закива́ли
Imp S,закива́й
Imp PL,закива́йте
