Infinitive,заби́ться
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,забью́сь
2nd Sing,забьёшься
3rd Sing,забьётся
1st Pl,забьёмся
2nd Pl,забьётесь
3rd Pl,забью́тся
Past M,заби́лся
Past F,заби́лась
Past N,заби́лось
Past PL,заби́лись
Imp S,забе́йся
Imp PL,забе́йтесь
