Infinitive,загну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,загну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,загну́сь
2nd Sing,загнёшься
3rd Sing,загнётся
1st Pl,загнёмся
2nd Pl,загнётесь
3rd Pl,загну́тся
Past M,загну́лся
Past F,загну́лась
Past N,загну́лось
Past PL,загну́лись
Imp S,загни́сь
Imp PL,загни́тесь
