Infinitive,запи́сывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запи́сывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запи́сывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запи́сываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запи́сывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,запи́сывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,запи́сывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,запи́сываю
2nd Sing,запи́сываешь
3rd Sing,запи́сывает
1st Pl,запи́сываем
2nd Pl,запи́сываете
3rd Pl,запи́сывают
Past M,запи́сывал
Past F,запи́сывала
Past N,запи́сывало
Past PL,запи́сывали
Imp S,запи́сывай
Imp PL,запи́сывайте
