Infinitive,завыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,завыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,завыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,завыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,завыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,завыва́ю
2nd Sing,завыва́ешь
3rd Sing,завыва́ет
1st Pl,завыва́ем
2nd Pl,завыва́ете
3rd Pl,завыва́ют
Past M,завыва́л
Past F,завыва́ла
Past N,завыва́ло
Past PL,завыва́ли
Imp S,завыва́й
Imp PL,завыва́йте
