Infinitive,замолча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замолча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замолча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,замолча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,замолчу́
2nd Sing,замолчи́шь
3rd Sing,замолчи́т
1st Pl,замолчи́м
2nd Pl,замолчи́те
3rd Pl,замолча́т
Past M,замолча́л
Past F,замолча́ла
Past N,замолча́ло
Past PL,замолча́ли
Imp S,замолчи́
Imp PL,замолчи́те
