Infinitive,зарыда́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зарыда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарыда́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зарыда́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зарыда́ю
2nd Sing,зарыда́ешь
3rd Sing,зарыда́ет
1st Pl,зарыда́ем
2nd Pl,зарыда́ете
3rd Pl,зарыда́ют
Past M,зарыда́л
Past F,зарыда́ла
Past N,зарыда́ло
Past PL,зарыда́ли
Imp S,зарыда́й
Imp PL,зарыда́йте
