Infinitive,заду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заду́маю
2nd Sing,заду́маешь
3rd Sing,заду́мает
1st Pl,заду́маем
2nd Pl,заду́маете
3rd Pl,заду́мают
Past M,заду́мал
Past F,заду́мала
Past N,заду́мало
Past PL,заду́мали
Imp S,заду́май
Imp PL,заду́майте
