Infinitive,затрясти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затря́сшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затря́сшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затрясу́сь
2nd Sing,затрясёшься
3rd Sing,затрясётся
1st Pl,затрясёмся
2nd Pl,затрясётесь
3rd Pl,затрясу́тся
Past M,затря́сся
Past F,затрясла́сь
Past N,затрясло́сь
Past PL,затрясли́сь
Imp S,затряси́сь
Imp PL,затряси́тесь
