Infinitive,запеча́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запеча́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запеча́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запеча́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запеча́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запеча́таю
2nd Sing,запеча́таешь
3rd Sing,запеча́тает
1st Pl,запеча́таем
2nd Pl,запеча́таете
3rd Pl,запеча́тают
Past M,запеча́тал
Past F,запеча́тала
Past N,запеча́тало
Past PL,запеча́тали
Imp S,запеча́тай
Imp PL,запеча́тайте
