Infinitive,зазвене́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зазвене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зазвене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зазвене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зазвеню́
2nd Sing,зазвени́шь
3rd Sing,зазвени́т
1st Pl,зазвени́м
2nd Pl,зазвени́те
3rd Pl,зазвеня́т
Past M,зазвене́л
Past F,зазвене́ла
Past N,зазвене́ло
Past PL,зазвене́ли
Imp S,зазвени́
Imp PL,зазвени́те
