Infinitive,заступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заступлю́сь
2nd Sing,засту́пишься
3rd Sing,засту́пится
1st Pl,засту́пимся
2nd Pl,засту́питесь
3rd Pl,засту́пятся
Past M,заступи́лся
Past F,заступи́лась
Past N,заступи́лось
Past PL,заступи́лись
Imp S,заступи́сь
Imp PL,заступи́тесь
