Infinitive,заполучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заполучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заполу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заполучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заполучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заполучу́
2nd Sing,заполу́чишь
3rd Sing,заполу́чит
1st Pl,заполу́чим
2nd Pl,заполу́чите
3rd Pl,заполу́чат
Past M,заполучи́л
Past F,заполучи́ла
Past N,заполучи́ло
Past PL,заполучи́ли
Imp S,заполучи́
Imp PL,заполучи́те
