Infinitive,залива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,залива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,залива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,залива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,залива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,залива́юсь
2nd Sing,залива́ешься
3rd Sing,залива́ется
1st Pl,залива́емся
2nd Pl,залива́етесь
3rd Pl,залива́ются
Past M,залива́лся
Past F,залива́лась
Past N,залива́лось
Past PL,залива́лись
Imp S,залива́йся
Imp PL,залива́йтесь
