Infinitive,заста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заста́влю
2nd Sing,заста́вишь
3rd Sing,заста́вит
1st Pl,заста́вим
2nd Pl,заста́вите
3rd Pl,заста́вят
Past M,заста́вил
Past F,заста́вила
Past N,заста́вило
Past PL,заста́вили
Imp S,заста́вь
Imp PL,заста́вьте
