Infinitive,захло́пнуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,захло́пнувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захло́пнувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,захло́пнусь
2nd Sing,захло́пнешься
3rd Sing,захло́пнется
1st Pl,захло́пнемся
2nd Pl,захло́пнетесь
3rd Pl,захло́пнутся
Past M,захло́пнулся
Past F,захло́пнулась
Past N,захло́пнулось
Past PL,захло́пнулись
Imp S,захло́пнись
Imp PL,захло́пнитесь
