Infinitive,заступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засту́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заступи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заступи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заступлю́
2nd Sing,засту́пишь
3rd Sing,засту́пит
1st Pl,засту́пим
2nd Pl,засту́пите
3rd Pl,засту́пят
Past M,заступи́л
Past F,заступи́ла
Past N,заступи́ло
Past PL,заступи́ли
Imp S,заступи́
Imp PL,заступи́те
