Infinitive,завы́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завы́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завы́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завы́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завы́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завы́шу
2nd Sing,завы́сишь
3rd Sing,завы́сит
1st Pl,завы́сим
2nd Pl,завы́сите
3rd Pl,завы́сят
Past M,завы́сил
Past F,завы́сила
Past N,завы́сило
Past PL,завы́сили
Imp S,завы́сь
Imp PL,завы́сьте
