Infinitive,заве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заве́шу
2nd Sing,заве́сишь
3rd Sing,заве́сит
1st Pl,заве́сим
2nd Pl,заве́сите
3rd Pl,заве́сят
Past M,заве́сил
Past F,заве́сила
Past N,заве́сило
Past PL,заве́сили
Imp S,заве́сь
Imp PL,заве́сьте
