Infinitive,зазва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зазва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зазва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зазва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зазову́
2nd Sing,зазовёшь
3rd Sing,зазовёт
1st Pl,зазовём
2nd Pl,зазовёте
3rd Pl,зазову́т
Past M,зазва́л
Past F,зазвала́
Past N,зазва́ло
Past PL,зазва́ли
Imp S,зазови́
Imp PL,зазови́те
